Model,MAE,MSE,R2,MAE_Scores,MSE_Scores,R2_Scores
Linear Regression,9299407686.944855,7.217289602432982e+21,0.2654527656920612,"[65095853182.898026, 16.47373752319014, 139.6177214283312, 0.0003067678378125694, 0.0839270327188183, 6.317986748927765e-09, 469.54023224045176]","[5.052102721703085e+22, 9015.095808707269, 293454.0008436703, 2.3302076846889342e-07, 0.2230251204905512, 3.491484262754586e-16, 499248.7339052244]","[0.04956089967207755, 0.021709686196583422, -0.011599847047551348, 0.8241048761305643, -0.031033771701441504, 0.2416668334666615, 0.7637606831275353]"
Decision Tree Regressor,4230390034.8297668,1.0916219245359813e+22,0.4594182313960045,"[29612730162.182137, 11.800927536107302, 36.719898977049084, 2.542996076512404e-06, 0.028842428762197808, 2.1654427798434303e-09, 33.076555023924044]","[7.641353471751873e+22, 11774.354938643964, 55198.299091433146, 1.7254392792574076e-10, 0.042284005294025734, 3.1332135427158614e-16, 5075.076555023942]","[-0.4375481891490973, -0.2777165802978365, 0.8097194423737801, 0.9998697556626611, 0.8045231973642624, 0.31948146734640814, 0.997598526471853]"
Random Forest Regressor,2256275879.8422575,2.192848430750725e+21,0.7726376623351269,"[15793931097.49142, 5.477009145634257, 27.49459974266944, 2.7076474133876638e-06, 0.03359294596134481, 1.2013268397603679e-09, 28.399178607247986]","[1.5349939015255073e+22, 4836.866609673497, 30005.087796388954, 1.3668133345935488e-10, 0.0750784851363694, 1.5013102243236028e-16, 2497.2350567201074]","[0.7112255424840326, 0.4751181957675408, 0.8965659280902248, 0.9998968264492584, 0.6529159875196162, 0.6739228217337039, 0.9988183343015117]"
Gradient Boosting Regressor,2368107363.5731897,1.747492407866322e+21,0.8402214754474329,"[16576751498.824032, 5.380495127590597, 18.538392145886018, 6.484097785756288e-06, 0.024142249076807013, 1.7301893689695154e-09, 22.245260328166292]","[1.2232446855064255e+22, 3090.666048950255, 9092.988169008719, 5.976631025205425e-10, 0.030556699842049215, 1.742285105334634e-16, 3085.056685820643]","[0.7698741212487232, 0.6646104796835566, 0.9686544895808913, 0.9995488555542033, 0.8587379331099538, 0.6215842657443613, 0.9985401832103404]"
Support Vector Regression,9579243264.49276,7.601508169682072e+21,0.06211998709572865,"[67054701826.858444, 17.93386160280786, 138.04703595268148, 0.0007101914983858254, 0.07856245055405618, 4.952124680815913e-09, 868.5306938694084]","[5.321055718777449e+22, 9182.001638709096, 305571.82382452296, 1.3135781263733813e-06, 0.22513389138721665, 3.813285343094665e-16, 1381662.1420451151]","[-0.0010365364156204038, 0.0035975817583366876, -0.05337262178818336, 0.008448951701612195, -0.04078251214135675, 0.1717732255099087, 0.34621182104540404]"
K-Nearest Neighbors Regressor,4258931632.0816636,7.016594261024026e+21,0.5736031142926,"[29812521258.696526, 10.112363833714637, 42.17239970901667, 0.00012959599877678123, 0.026248638231740742, 2.0166323483377787e-09, 113.56395812555292]","[4.911615982716818e+22, 9061.466731762584, 52618.17584628778, 8.561257639910742e-08, 0.0337832871030509, 2.999012011902675e-16, 50479.52253735925]","[0.07599030880434077, 0.016677657050168437, 0.8186136890790527, 0.935375568326165, 0.8438215845564045, 0.34862937813632955, 0.9761136140957389]"
XGBoost Regressor,2383228177.334647,1.6616101359610427e+21,0.8539018790211799,"[16682597185.2645, 5.966170974086078, 24.19435840142264, 6.54038996683403e-06, 0.024234174829196833, 1.5332070777297604e-09, 25.893260316985653]","[1.1631270951727296e+22, 3518.285947292171, 13228.74629432038, 6.737235483843e-10, 0.028148056984748378, 1.123542266965363e-16, 3828.116025181338]","[0.7811838890064499, 0.6182064909280022, 0.9543976306695701, 0.9994914415235369, 0.8698729663491795, 0.7559721594249165, 0.9981885752466043]"
LightGBM Regressor,5725874153.580956,4.585845302295339e+21,0.6929691565837169,"[40081118996.88157, 12.393255217724704, 31.634994752692318, 1.3280142874149516e-05, 0.048588573829750493, 3.6777028077115653e-09, 34.10826426609521]","[3.2100917116067375e+22, 4844.973692937991, 17449.16027637034, 6.671505151189797e-10, 0.12378996612088145, 1.7690117972681026e-16, 5067.822044299331]","[0.39609369674076544, 0.47423844016658623, 0.9398489445843751, 0.9994964031606819, 0.427725292165851, 0.6157793600367588, 0.9976019592309997]"
ElasticNet Regression,8663153251.763565,7.177536154413308e+21,0.22720463347370742,"[60642072105.22288, 13.374230138861488, 121.78873723924025, 0.0004259390604677533, 0.07815622119864588, 4.541775634592697e-09, 521.8805346179792]","[5.024275308089313e+22, 9041.59391155384, 291804.4174785483, 5.539769486516125e-07, 0.22360467549618263, 3.5417555070221625e-16, 541329.4223853452]","[0.05479599947436564, 0.018834194033324314, -0.005913373954486989, 0.5818319343629871, -0.03371302497143347, 0.23074816708237544, 0.7438485382888187]"
