"material_code","c55f","e15f","q15f","ϵ11f","μ11f","α11f","ρf"
1,44000000000,11.4,0.0,9.820000000000001e-9,0.000005,0,5700
2,2.56e10,12.7,0.0,6.4600000000000004e-9,0.000005,0,7500
3,25000000000,13.5,0.0,1.71e-8,0.000005,0,7800
4,2.11e10,12.3,0.0,9.163e-7,1.256e-6,0,7800
5,37000000000,11.3,0.0,0.000000938,1.256e-6,0,4500
6,63000000000,11.1,0.0,0.000002779,1.256e-6,0,8200
7,2.28e10,15.6,0.0,0.00000219,1.256e-6,0,4600
8,9.e8,0,0.0,7.400000000000001e-9,1.256e-6,0,1780
9,5.56e10,21.12,0.0,2.171e-7,1.256e-6,0,8200
10,3.2700000000000004e10,8.4,0,0.000000614,1.256e-6,0,4500
11,4.74e10,5.9,0.0,0.000000258,1.256e-6,0,5700
